MERRA_ID,YEAR,TEMP_AVG,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW
136090,2021,17.3,17.8,0,31
138347,2021,17.9,18.3,1,30
138922,2021,19.8,20.2,0,18
135515,2021,18.2,18.5,0,22
137243,2021,16.4,16.7,0,43
134943,2021,20,20.4,0,3
134361,2021,18.9,19.2,0,14
136620,2021,23.2,23.6,0,0
137194,2021,23.9,24.3,0,0
144732,2021,11.2,11.4,252,97
149922,2021,8.3,8.5,575,91
133790,2022,20.8,21.4,2,12
134361,2022,19.4,19.8,3,25
136620,2022,22.7,23.1,0,2
137241,2022,16.3,16.8,22,53
138347,2022,17.4,17.9,0,32
138349,2022,14,14.6,16,107
151077,2022,5.6,5.5,1181,86
133786,2022,20,20.4,3,17
138922,2022,19.2,19.6,0,31
134943,2022,20.3,20.7,3,13
137819,2022,15.3,15.8,26,66
138924,2022,13.8,14.4,15,106
149346,2022,7.8,7.8,664,79
137194,2022,23.6,23.9,0,1
138346,2022,20.6,21,0,14
136045,2022,22.7,23,0,5
136090,2022,17.4,18,12,40
136621,2022,23,23.4,0,3
137243,2022,16.5,17,19,48
144732,2022,10.4,10.5,370,87
149922,2022,7.3,7.3,767,88
133787,2022,19.9,20.2,3,15
134319,2022,18.6,19.3,0,16
134895,2022,19.9,20.5,0,13
135515,2022,18.6,19,5,30
138348,2022,14.9,15.5,7,83
148770,2022,7.9,8,659,83
134896,2022,17.6,18.3,0,28
138348,2023,14.4,15,8,77
134896,2023,18.4,19.1,0,30
136045,2023,22.7,23,0,4
138347,2023,17,17.4,0,48
149346,2023,8.8,8.9,327,92
151077,2023,6.8,6.8,793,99
133787,2023,20.3,20.7,0,9
136090,2023,18,18.5,0,28
136621,2023,23.1,23.5,0,3
137194,2023,22.9,23.3,0,1
134361,2023,20,20.4,0,15
134895,2023,20.5,21.1,0,13
136620,2023,22.6,23,0,3
137819,2023,15.8,16.4,0,42
138349,2023,13.5,14.1,33,103
144732,2023,11.5,11.7,79,110
148770,2023,9,9.2,292,102
149922,2023,8.5,8.6,375,115
134319,2023,19.2,19.9,0,20
134943,2023,20.7,21.1,0,1
135515,2023,19,19.4,0,21
138346,2023,20.2,20.6,0,11
138922,2023,18.8,19.2,0,27
133786,2023,20.6,21,0,10
133790,2023,21.3,21.9,0,3
137241,2023,16.9,17.5,0,37
137243,2023,16.9,17.4,0,33
138924,2023,13.2,13.9,21,105
133787,2024,20.2,20.5,0,13
133790,2024,21.1,21.7,0,6
135515,2024,19,19.4,3,25
136045,2024,23.5,23.8,0,3
138346,2024,21.6,21.9,0,5
138349,2024,15,15.6,16,78
151077,2024,7.8,8,681,95
134943,2024,20.6,21,0,5
136620,2024,23.4,23.8,0,3
136621,2024,23.9,24.3,0,3
137194,2024,24.1,24.5,0,1
137241,2024,17.2,17.7,20,46
149346,2024,9.7,9.8,296,87
134895,2024,20.8,21.4,0,6
137819,2024,16.1,16.6,17,52
138348,2024,15.8,16.3,8,54
144732,2024,12.4,12.7,184,78
134319,2024,19.5,20.2,0,9
134896,2024,18.8,19.4,1,17
136090,2024,18.1,18.7,8,37
149922,2024,9.3,9.5,354,93
133786,2024,20.2,20.6,0,13
137243,2024,17.3,17.7,9,42
138347,2024,18.3,18.7,0,20
138922,2024,20.3,20.7,0,11
138924,2024,14.7,15.3,14,81
148770,2024,9.7,9.9,308,92
134361,2024,19.8,20.2,1,21
