MERRA_ID,YEAR,PRECIPITATION,EVAPORATION,PRECIP_DAYS
137194,2024,130.64,84.11,366
137243,2024,1149.47,1092.52,366
138348,2024,409.98,247.71,366
133787,2024,1315.23,1187.41,366
136620,2024,138.5,142.88,366
138349,2024,312.65,353.88,366
144732,2024,1193.42,761.04,366
149346,2024,1136.33,481.34,366
133790,2024,1589.2,1127.99,366
135515,2024,1202.69,1107.19,366
137241,2024,1199.79,1070.4,366
138924,2024,420.73,249.81,366
149922,2024,1224.52,311.05,366
136621,2023,158.12,170.8,365
137819,2023,1115.01,1118.95,365
138922,2023,186.46,206.75,365
133786,2023,1132.42,993.58,365
134896,2023,166.79,283.19,365
137194,2023,113.48,101.25,365
144732,2023,1128.57,779.46,365
149346,2023,1204.53,461.76,365
149922,2023,1239.69,329.44,365
133790,2023,1157.44,1039.41,365
134895,2023,134.58,224.29,365
148770,2023,1104.48,553.74,365
133787,2023,1193.62,1076.2,365
135515,2023,1137.89,1012.73,365
138346,2023,195.55,173.5,365
134319,2023,161.51,244.02,365
134361,2023,1131.62,1048.66,365
137241,2023,1089.34,1077.25,365
136045,2023,107.08,152.01,365
134943,2023,1215.74,1031.67,365
137243,2023,999.51,1123.03,365
138347,2023,356,255.23,365
138349,2023,288.29,490.18,365
136090,2023,1133.9,1067.48,365
136620,2023,161.31,145.14,365
138348,2023,413.86,347.02,365
138924,2023,356.18,350.53,365
151077,2023,1033.8,549.1,365
