MERRA_ID,YEAR,MONTH,REL_HUM_AVG_AVG
136090,2016,4,78
136090,2016,7,63
136045,2016,10,28
136620,2016,11,34
138346,2016,6,17
137243,2016,2,82
138347,2016,6,20
137243,2016,11,55
137819,2016,3,82
137819,2016,8,71
137819,2016,9,64
138348,2016,8,49
138349,2016,3,39
138349,2016,4,42
138349,2016,7,35
138349,2016,9,46
138924,2016,1,61
148770,2016,2,81
148770,2016,4,74
149346,2016,2,79
149346,2016,9,66
149346,2016,12,82
149922,2016,5,66
149922,2016,11,80
151077,2016,8,72
151077,2016,9,72
133787,2016,1,82
133790,2016,5,66
133790,2016,9,76
134319,2016,12,51
135515,2016,9,67
136620,2016,6,19
134895,2016,1,49
134895,2016,3,27
137819,2016,12,76
136045,2016,2,32
134943,2016,5,72
134943,2016,6,74
136045,2016,6,19
135515,2016,2,83
138346,2016,5,28
136620,2016,8,33
136621,2016,3,23
136621,2016,5,24
136621,2016,7,22
136621,2016,9,30
137194,2016,7,21
137194,2016,11,30
137241,2016,4,76
137241,2016,7,64
137241,2016,12,79
137819,2016,6,63
138347,2016,3,31
138348,2016,2,38
138348,2016,4,40
138349,2016,12,65
138924,2016,3,37
138924,2016,11,49
148770,2016,11,83
149346,2016,5,71
151077,2016,5,73
133787,2017,4,68
133786,2017,5,65
133787,2017,5,63
133787,2017,9,77
133786,2017,11,70
134319,2017,3,35
135515,2017,9,68
137194,2017,7,27
134361,2017,4,74
134896,2017,3,35
134896,2017,7,53
134943,2017,3,68
136045,2017,6,15
134943,2017,11,76
136090,2017,11,79
136045,2017,10,21
136620,2017,6,15
137194,2017,5,24
137194,2017,8,25
137194,2017,11,29
138346,2017,5,24
138347,2017,3,41
137243,2017,5,74
137819,2017,5,77
137819,2017,9,70
138346,2017,6,13
138347,2017,6,16
138347,2017,9,36
138349,2017,6,24
138349,2017,8,45
138349,2017,11,46
138922,2017,2,60
138922,2017,4,30
149346,2017,1,84
148770,2017,11,80
149922,2017,4,70
151077,2017,5,80
133786,2017,2,85
133786,2017,3,77
134319,2017,2,50
133786,2017,8,74
133787,2017,10,73
133787,2017,12,80
133790,2017,9,83
133790,2017,12,83
134319,2017,6,18
134319,2017,10,30
137194,2017,6,15
137194,2017,12,18
134361,2017,9,71
134895,2017,4,22
134895,2017,12,33
134943,2017,1,83
134943,2017,2,79
134943,2017,6,78
134943,2017,8,80
135515,2017,5,68
136090,2017,8,72
136090,2017,12,81
136045,2017,2,50
137241,2017,2,81
138346,2017,2,57
138346,2017,3,37
137241,2017,10,73
138348,2017,1,70
136621,2017,6,13
136621,2017,7,34
137194,2017,2,54
137243,2017,11,81
137819,2017,3,75
137819,2017,6,79
138349,2017,2,69
138349,2017,4,40
138349,2017,9,41
138922,2017,11,32
144732,2017,7,79
144732,2017,9,68
149346,2017,3,74
149346,2017,5,79
148770,2017,8,68
149346,2017,10,75
149922,2017,8,68
151077,2017,9,79
133787,2017,1,86
133786,2017,10,69
133790,2017,4,66
133790,2017,5,63
136090,2017,2,83
136090,2017,7,74
136090,2017,9,70
137194,2017,4,25
134361,2017,3,78
134361,2017,10,68
136620,2017,10,19
137241,2017,4,77
136045,2017,5,22
134943,2017,9,78
136045,2017,11,29
136045,2017,1,56
137241,2017,1,83
137241,2017,7,73
136090,2017,6,79
138348,2017,2,67
136620,2017,4,24
138348,2017,4,35
136620,2017,9,27
136621,2017,4,24
137194,2017,1,59
137243,2017,4,78
138347,2017,4,31
138347,2017,10,23
138348,2017,5,35
138349,2017,10,32
138922,2017,6,13
138922,2017,10,20
138924,2017,4,35
138924,2017,6,21
138924,2017,8,43
138924,2017,10,31
144732,2017,1,83
138924,2017,2,67
144732,2017,5,76
148770,2017,5,81
148770,2017,6,77
151077,2017,7,81
149346,2017,7,70
149346,2017,9,70
149346,2017,11,79
151077,2017,2,88
151077,2017,3,75
151077,2017,8,80
133786,2017,1,86
133787,2017,3,74
133787,2017,8,76
133786,2017,9,73
134319,2017,9,43
134319,2017,12,36
135515,2017,1,86
136090,2017,3,77
137243,2017,9,69
134895,2017,2,49
137819,2017,7,74
134943,2017,5,66
134943,2017,10,76
138346,2017,1,61
136045,2017,3,34
137241,2017,3,76
138346,2017,7,29
136620,2017,3,36
136620,2017,8,28
138346,2017,8,27
138347,2017,2,63
137243,2017,8,71
137819,2017,2,79
137819,2017,12,79
138349,2017,7,46
144732,2017,8,71
138924,2017,1,72
144732,2017,12,79
148770,2017,4,81
148770,2017,7,69
149922,2017,1,81
149922,2017,2,79
149922,2017,6,73
149922,2017,11,77
133786,2017,6,80
133787,2017,11,73
133786,2017,12,79
133790,2017,3,66
136620,2017,11,29
134361,2017,12,80
134895,2017,5,22
134895,2017,10,25
134895,2017,11,28
134896,2017,1,57
134896,2017,2,50
134896,2017,4,25
134896,2017,6,17
134896,2017,8,48
137241,2017,6,79
136045,2017,9,27
135515,2017,4,72
136090,2017,4,76
136090,2017,5,73
135515,2017,12,80
138348,2017,6,20
136621,2017,2,51
136621,2017,8,29
136621,2017,10,19
137241,2017,8,70
138346,2017,11,31
138346,2017,12,20
137243,2017,2,80
138347,2017,7,37
137819,2017,10,73
138346,2017,9,32
138349,2017,1,74
138349,2017,5,38
138922,2017,3,39
138922,2017,7,31
138922,2017,9,35
144732,2017,2,80
144732,2017,4,77
138348,2017,12,27
148770,2017,1,85
148770,2017,2,84
148770,2017,9,68
149346,2017,6,76
149922,2017,5,73
149922,2017,10,74
149922,2017,12,75
133787,2017,6,81
133786,2017,7,76
133790,2017,1,82
133790,2017,2,78
134319,2017,1,56
134319,2017,8,51
134319,2017,11,31
135515,2017,6,79
135515,2017,10,69
136090,2017,10,74
134361,2017,1,86
134361,2017,2,85
134361,2017,6,80
134895,2017,1,55
137819,2017,1,83
134896,2017,10,30
134896,2017,11,32
134896,2017,12,37
136045,2017,8,30
136045,2017,12,26
135515,2017,11,73
136045,2017,7,35
138348,2017,3,47
136621,2017,9,24
136621,2017,11,27
136621,2017,12,23
137194,2017,10,18
138347,2017,5,30
137819,2017,4,79
137819,2017,8,72
138348,2017,7,43
138924,2017,3,46
144732,2017,3,76
148770,2017,12,80
151077,2017,12,75
149346,2017,2,83
149346,2017,4,78
149346,2017,8,68
149922,2017,3,66
151077,2017,1,90
151077,2017,4,79
151077,2017,6,80
133787,2017,7,77
133790,2017,10,80
133790,2017,11,82
134319,2017,4,24
134319,2017,5,24
134319,2017,7,56
136090,2017,1,86
137194,2017,9,29
137243,2017,6,77
134361,2017,5,69
136620,2017,5,22
134361,2017,7,76
134361,2017,8,72
134361,2017,11,72
136620,2017,12,21
134895,2017,3,34
134895,2017,7,50
134895,2017,8,44
134895,2017,9,36
134896,2017,5,23
137241,2017,9,69
134943,2017,12,79
136621,2017,1,55
136621,2017,5,21
137241,2017,5,74
137241,2017,11,81
137243,2017,1,84
137243,2017,3,75
137243,2017,7,74
138347,2017,11,37
138347,2017,12,22
137819,2017,11,81
138349,2017,3,51
138349,2017,12,31
138922,2017,5,24
138922,2017,12,24
138924,2017,7,43
138924,2017,11,46
138924,2017,12,31
138348,2017,11,43
144732,2017,11,80
149346,2017,12,79
149922,2017,9,69
133787,2017,2,85
133786,2017,4,70
133790,2017,6,83
133790,2017,7,79
133790,2017,8,82
135515,2017,2,84
135515,2017,3,76
135515,2017,7,75
137243,2017,10,72
138348,2017,10,28
136620,2017,7,33
134895,2017,6,16
134896,2017,9,41
134943,2017,4,71
136045,2017,4,21
134943,2017,7,79
135515,2017,8,72
138346,2017,10,19
136620,2017,1,56
136620,2017,2,52
138348,2017,8,41
138348,2017,9,40
136621,2017,3,37
137194,2017,3,35
137241,2017,12,80
138347,2017,1,66
138347,2017,8,35
137243,2017,12,80
138346,2017,4,27
138922,2017,1,64
138922,2017,8,30
138924,2017,5,35
144732,2017,6,74
144732,2017,10,71
138924,2017,9,42
151077,2017,11,81
148770,2017,3,77
148770,2017,10,75
149922,2017,7,70
151077,2017,10,79
133787,2018,3,74
133787,2018,5,73
133787,2018,6,81
133786,2018,9,74
133787,2018,10,72
133790,2018,2,85
133790,2018,6,78
134319,2018,9,49
135515,2018,9,68
134361,2018,3,77
134361,2018,10,71
134895,2018,7,43
134896,2018,7,46
134896,2018,10,60
134943,2018,6,76
137241,2018,9,71
134943,2018,12,87
136090,2018,3,76
136090,2018,11,84
138346,2018,7,33
138346,2018,12,43
136620,2018,6,17
136620,2018,8,34
136621,2018,5,18
136621,2018,11,37
136621,2018,12,45
138346,2018,3,35
137241,2018,10,74
137243,2018,3,78
137819,2018,1,73
138346,2018,5,22
138349,2018,4,27
144732,2018,4,77
144732,2018,8,74
138348,2018,2,43
138348,2018,4,25
151077,2018,12,90
148770,2018,9,71
149346,2018,7,62
149346,2018,8,68
149922,2018,3,68
149922,2018,7,62
151077,2018,5,74
151077,2018,11,84
133786,2018,2,86
133786,2018,3,76
133787,2018,7,80
133787,2018,8,83
133790,2018,7,79
133790,2018,11,81
134319,2018,4,21
134319,2018,6,22
135515,2018,7,74
136090,2018,2,85
134361,2018,7,76
134895,2018,9,43
134895,2018,12,51
134943,2018,3,65
135515,2018,10,71
136045,2018,7,33
136620,2018,11,34
137194,2018,3,31
137194,2018,10,41
137194,2018,11,27
137241,2018,11,84
137243,2018,9,71
137819,2018,7,79
138346,2018,1,35
138347,2018,8,39
138348,2018,3,43
138349,2018,5,27
138349,2018,9,37
138922,2018,5,23
138924,2018,1,43
138924,2018,10,57
144732,2018,12,88
138348,2018,1,39
138924,2018,4,27
148770,2018,2,84
151077,2018,4,78
151077,2018,7,74
149346,2018,3,75
149346,2018,5,71
149922,2018,2,80
133787,2018,1,70
133786,2018,6,78
133787,2018,11,84
134319,2018,1,32
134319,2018,7,47
135515,2018,5,75
136090,2018,4,75
136090,2018,9,71
136090,2018,12,88
137194,2018,5,24
137243,2018,5,80
138347,2018,6,16
134361,2018,1,69
134361,2018,6,78
134895,2018,2,41
134895,2018,6,20
134895,2018,10,57
137819,2018,11,84
134943,2018,1,72
134943,2018,4,69
137241,2018,4,76
137241,2018,8,75
134943,2018,9,76
134943,2018,10,73
135515,2018,3,74
136620,2018,3,29
136620,2018,5,21
136620,2018,9,26
136620,2018,12,42
136621,2018,3,28
137194,2018,2,29
138346,2018,2,34
137243,2018,2,85
138347,2018,3,39
