MERRA_ID,YEAR,MONTH,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
136045,2014,12,0.48,2930.2
136090,2014,11,0.38,3475.7
137194,2014,8,0.24,6851.2
137241,2014,12,0.56,2504.1
138349,2014,10,0.27,4845
138922,2014,6,0.15,8835.7
149346,2014,4,0.6,4777.4
148770,2014,5,0.56,6054
148770,2014,9,0.38,4688
149346,2014,10,0.5,2883.5
133786,2015,3,0.51,5169.3
133786,2015,7,0.61,5802.8
133787,2015,10,0.39,4872.7
133787,2015,11,0.46,3753.8
134319,2015,6,0.25,7733.9
134319,2015,10,0.33,4855.3
134319,2015,11,0.25,4368.3
134895,2015,5,0.26,8267.5
134895,2015,7,0.56,6032.3
134896,2015,8,0.57,5740.9
135515,2015,1,0.54,3143.1
135515,2015,7,0.61,6244.2
136045,2015,1,0.38,3329.8
136045,2015,9,0.38,5731.6
136090,2015,3,0.59,4587
136620,2015,2,0.25,4737.5
136620,2015,8,0.35,6883.7
136620,2015,11,0.16,4024.8
136620,2015,12,0.33,3343.8
136621,2015,12,0.35,3268.3
137194,2015,1,0.33,3350.5
137194,2015,3,0.23,5818.6
137194,2015,10,0.34,4637.5
137194,2015,12,0.36,3318.1
137241,2015,10,0.42,4087.3
137243,2015,10,0.42,4143.4
137819,2015,5,0.5,7055.5
137819,2015,6,0.46,6727.5
138346,2015,8,0.34,6939.6
138348,2015,8,0.39,6720.9
138347,2015,12,0.41,3159
138922,2015,10,0.37,4523.3
144732,2015,2,0.66,2789.8
148770,2015,4,0.55,5315.6
148770,2015,7,0.39,7021.4
148770,2015,12,0.69,1195.8
149346,2015,1,0.62,1686.4
149922,2015,8,0.39,5762.7
149922,2015,11,0.55,1801.1
133790,2015,5,0.4,7168
133790,2015,4,0.66,4937
133787,2015,6,0.44,5935.3
133787,2015,8,0.53,5779
133790,2015,8,0.61,5161.6
134896,2015,4,0.24,7532.3
134943,2015,4,0.68,5016.5
135515,2015,5,0.44,7010.7
135515,2015,6,0.41,6306.4
136045,2015,6,0.21,7966.7
136045,2015,12,0.34,3326.6
136090,2015,10,0.4,4403.1
136621,2015,1,0.36,3260.3
136620,2015,5,0.3,7828
136621,2015,11,0.17,4010.8
137243,2015,3,0.59,4662.2
137819,2015,1,0.49,2981.6
137819,2015,2,0.49,3990.8
137819,2015,8,0.48,5949.2
137819,2015,12,0.6,2423
138347,2015,1,0.37,3246.6
138348,2015,3,0.27,5905.2
138347,2015,6,0.23,8396.5
138348,2015,6,0.24,8349.3
138349,2015,6,0.23,8265.7
138348,2015,9,0.37,5949.2
138924,2015,1,0.39,3180.2
138922,2015,4,0.27,7359.5
138924,2015,6,0.25,8436
138924,2015,7,0.36,7381
144732,2015,4,0.55,5288.1
148770,2015,10,0.55,3031.7
133787,2015,3,0.51,5159.4
133786,2015,6,0.42,5910.4
133786,2015,12,0.54,2801.4
134319,2015,1,0.45,3606.7
134319,2015,3,0.28,6030.3
134361,2015,6,0.43,5989.4
134361,2015,11,0.48,3632.9
134895,2015,6,0.24,7846
134895,2015,9,0.44,5476.7
134895,2015,10,0.31,4854.2
134896,2015,6,0.26,7827.6
138349,2015,8,0.41,6561.6
134943,2015,1,0.53,3156.9
134943,2015,10,0.41,4417.8
135515,2015,8,0.51,5923.5
135515,2015,12,0.57,2609.1
136621,2015,2,0.26,4705.3
137194,2015,6,0.2,8147
137194,2015,7,0.27,7588.9
137194,2015,9,0.31,5993.3
137194,2015,11,0.13,4017.6
137241,2015,1,0.55,2910.5
137243,2015,1,0.52,3010.4
137243,2015,2,0.49,3965.5
137243,2015,6,0.43,6681.7
137243,2015,9,0.54,4963.7
137819,2015,3,0.61,4597.1
137819,2015,9,0.55,5050.3
137819,2015,11,0.55,2963.8
138348,2015,1,0.38,3231.7
138348,2015,10,0.39,4498.1
138922,2015,1,0.36,3122.4
138922,2015,2,0.26,4555.5
138924,2015,5,0.45,7425.5
138924,2015,8,0.39,6667.6
138924,2015,9,0.37,6037.1
144732,2015,11,0.51,2479.3
148770,2015,1,0.56,1793.4
148770,2015,11,0.5,2053.8
149346,2015,9,0.41,4580
133787,2015,2,0.48,4168.8
133790,2015,1,0.59,3217.3
133787,2015,4,0.67,4873.4
133786,2015,5,0.43,6882.7
133787,2015,7,0.61,5828
134319,2015,5,0.25,8361.4
134319,2015,9,0.43,5432
134361,2015,2,0.48,4169.1
134361,2015,8,0.52,5828.5
134895,2015,3,0.27,6033.7
134895,2015,4,0.23,7543.4
134895,2015,8,0.53,5934.4
134895,2015,12,0.34,3537
134896,2015,12,0.35,3525.2
134943,2015,7,0.65,6039.4
135515,2015,2,0.48,4104.1
135515,2015,4,0.69,5172.3
135515,2015,11,0.51,3428.1
136045,2015,11,0.16,4103.3
136090,2015,5,0.47,6918.3
136090,2015,6,0.42,6539.8
136090,2015,8,0.5,6105.6
136620,2015,6,0.2,8069.8
136620,2015,7,0.35,7279.1
136621,2015,7,0.41,7142.7
136620,2015,9,0.38,5841.5
136621,2015,9,0.39,5743.4
136621,2015,10,0.32,4678.4
137194,2015,4,0.25,7445.9
137241,2015,4,0.66,5252.4
137243,2015,4,0.66,5338.2
137241,2015,6,0.43,6849.8
137243,2015,8,0.47,6015.7
137241,2015,9,0.5,5231.4
137243,2015,12,0.59,2459.9
137819,2015,7,0.61,6022.6
138349,2015,1,0.36,3253.5
138346,2015,2,0.26,4594.4
138349,2015,2,0.29,4625.7
138347,2015,3,0.27,5897
138347,2015,7,0.31,7541.7
138346,2015,9,0.32,6049.9
138347,2015,9,0.35,6006.7
138346,2015,10,0.36,4576.3
138348,2015,12,0.42,3150.9
138924,2015,12,0.43,3060.2
144732,2015,5,0.55,6428.8
144732,2015,8,0.37,6360.5
148770,2015,8,0.36,6004
148770,2015,9,0.44,4601.6
149922,2015,1,0.63,1548.3
151077,2015,6,0.56,6119.8
151077,2015,8,0.46,5506.1
133787,2015,1,0.57,3317.7
133790,2015,2,0.5,3962.6
133790,2015,3,0.53,5044
133787,2015,5,0.41,6977.7
133787,2015,9,0.61,4618.9
133790,2015,7,0.63,5750.8
134319,2015,8,0.56,5524.7
134361,2015,1,0.56,3284.6
134361,2015,4,0.68,5039.4
134361,2015,10,0.41,4703.6
134895,2015,1,0.43,3524.9
134896,2015,1,0.44,3569.9
134896,2015,9,0.46,5337.4
134896,2015,10,0.33,4860.9
134943,2015,11,0.49,3494.2
134943,2015,12,0.58,2713.1
135515,2015,3,0.58,4727.4
135515,2015,9,0.58,4641.4
136045,2015,2,0.26,4752.6
136045,2015,4,0.24,7541.5
136045,2015,7,0.44,7053.7
136045,2015,10,0.31,4746
136090,2015,2,0.49,3986.3
136090,2015,4,0.69,5196.4
136090,2015,7,0.61,6315.6
136090,2015,9,0.54,4822.5
136090,2015,11,0.52,3185.5
136620,2015,4,0.24,7524.5
137194,2015,5,0.34,7696.1
137241,2015,7,0.59,6184.3
137241,2015,12,0.57,2500.1
137819,2015,4,0.66,5260.8
138349,2015,7,0.36,7363.2
138347,2015,4,0.29,7400.3
138924,2015,2,0.31,4523.5
138922,2015,8,0.36,6906.3
138924,2015,10,0.39,4450.1
138922,2015,12,0.4,3105.8
144732,2015,3,0.62,4151.5
148770,2015,2,0.7,2549.2
148770,2015,5,0.57,6375
149346,2015,5,0.58,6030.2
149346,2015,7,0.36,7082.2
149922,2015,3,0.57,3962
149922,2015,7,0.34,7100.1
151077,2015,5,0.59,5961
133786,2015,2,0.48,4192.7
133786,2015,10,0.4,4811.3
133790,2015,10,0.38,4752.8
133790,2015,9,0.69,4231.6
134319,2015,7,0.57,5723.5
134319,2015,12,0.34,3612.2
134361,2015,5,0.47,6841
134896,2015,5,0.27,8272.9
134896,2015,11,0.23,4331.4
134943,2015,3,0.58,4781
136045,2015,3,0.24,5776.7
136045,2015,8,0.38,6740.6
136620,2015,1,0.34,3381.2
136621,2015,3,0.24,5787.4
136621,2015,6,0.21,8017.3
136620,2015,10,0.32,4687.7
137194,2015,2,0.26,4751.5
137194,2015,8,0.32,7099.8
137241,2015,3,0.59,4608.1
137243,2015,5,0.48,6976.4
137243,2015,7,0.6,6251.2
137243,2015,11,0.53,3027.2
137819,2015,10,0.42,4088.2
138347,2015,2,0.29,4621
138347,2015,10,0.38,4526
138347,2015,11,0.16,3966.9
138348,2015,11,0.18,3936.9
138346,2015,12,0.39,3176.8
138348,2015,4,0.31,7425.8
138924,2015,4,0.32,7378.1
138922,2015,7,0.29,7609.7
