MERRA_ID,YEAR,MONTH,PRECIPITATION,EVAPORATION,PRECIP_DAYS
135515,2015,1,95.06,48.57,31
136045,2015,2,0.26,20.37,28
136090,2015,9,99.61,83.7,30
137194,2015,1,8.7,12.42,31
137241,2015,2,111.81,47.87,28
137243,2015,2,145.36,48.55,28
137243,2015,3,128.88,91.89,31
137819,2015,7,65.85,121.13,31
137819,2015,9,135.38,85.86,30
138348,2015,4,16.72,35.32,30
134361,2015,7,58.08,113.61,31
136045,2015,11,8.66,8,30
135515,2015,10,121.01,70.51,31
136621,2015,3,15.76,30.45,31
136621,2015,5,12.69,26.69,31
137241,2015,3,134.95,89.03,31
138346,2015,3,35.47,33.07,31
137241,2015,8,74.53,95.26,31
137243,2015,7,51.49,114.05,31
138922,2015,7,18.33,31.51,31
138924,2015,5,37.21,36.94,31
138924,2015,12,24.61,11.38,31
144732,2015,8,41.35,101.8,31
144732,2015,10,68.18,32.16,31
144732,2015,9,89.77,63.14,30
148770,2015,6,216.66,79.06,30
148770,2015,9,49.85,53.54,30
148770,2015,12,105.85,17.4,31
151077,2015,6,130.2,109.2,30
151077,2015,9,59.26,73.31,30
151077,2015,11,83.94,21.06,30
151077,2015,1,59.38,12.66,31
151077,2015,3,57.32,33.08,31
151077,2015,7,45.32,146.81,31
133786,2015,1,101.27,56.72,31
133786,2015,2,108.18,65.61,28
133787,2015,1,136.55,54.95,31
133787,2015,3,63.39,110.93,31
133787,2015,4,110.65,114.47,30
133790,2015,5,22.99,87.55,31
133790,2015,6,68.35,95.27,30
133790,2015,9,124.4,116.66,30
134361,2015,6,78.63,112.65,30
134361,2015,11,121.35,71.27,30
136090,2015,4,200.81,122.73,30
136090,2015,8,70.6,102.85,31
137243,2015,1,106.61,45.91,31
138347,2015,2,24.84,20.67,28
138348,2015,5,44.23,37.93,31
134361,2015,10,66.46,67.38,31
134895,2015,12,10.77,16.23,31
134943,2015,1,84.04,56.79,31
134943,2015,3,123.01,87.13,31
135515,2015,3,86.9,95.03,31
136090,2015,1,105.89,50.39,31
136620,2015,6,8.19,3.55,30
137194,2015,12,4.48,2.29,31
138346,2015,5,8.73,19.05,31
138349,2015,6,22.46,58.31,30
138349,2015,10,42.66,33.37,31
138922,2015,4,2.87,15.93,30
138924,2015,2,23.64,19.23,28
144732,2015,6,329.77,116.69,30
144732,2015,11,82.75,24.51,30
138349,2015,1,32.6,18.52,31
138922,2015,1,17.59,12.4,31
138924,2015,4,11.52,28.9,30
138924,2015,10,40.94,27.96,31
148770,2015,8,66.61,55.76,31
148770,2015,11,56.21,27.57,30
149922,2015,9,37.78,34.59,30
151077,2015,5,113.62,98.39,31
149346,2015,10,113.73,45.8,31
134319,2015,6,25.86,16.62,30
133786,2015,9,131.37,75.23,30
133787,2015,9,140.65,86.67,30
133786,2015,10,97.14,63.67,31
136045,2015,12,3.57,4.2,31
136090,2015,7,42.51,107.91,31
136620,2015,4,0.21,5.74,30
