STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1006,1976,9,"FHWA Class 9 (Five axle, one trailer truck)",75,5.980000019073486,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1976,6,FHWA Class 6 (Three axle Single-unit truck),1.409999966621399,6.019999980926514,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,6,FHWA Class 6 (Three axle Single-unit truck),1.409999966621399,15.960000038146973,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",7.880000114440918,5.980000019073486,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",7.869999885559082,15.890000343322754,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,4,FHWA Class 4 (Buses),1.0399999618530273,5.769999980926514,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,4,FHWA Class 4 (Buses),1.0099999904632568,16.030000686645508,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,12,"FHWA Class 12 (Six axle, multi trailer truck)",2.559999942779541,6.03000020980835,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",7.389999866485596,15.960000038146973,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1993,12,"FHWA Class 12 (Six axle, multi trailer truck)",2.5799999237060547,15.760000228881836,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1007,1978,12,"FHWA Class 12 (Six axle, multi trailer truck)",2.0399999618530273,6.96999979019165,compound,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,4,FHWA Class 4 (Buses),0.9200000166893005,6.199999809265137,compound,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,4,FHWA Class 4 (Buses),1.3300000429153442,6.800000190734863,compound,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,6,FHWA Class 6 (Three axle Single-unit truck),1.7100000381469727,11.84000015258789,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,6,FHWA Class 6 (Three axle Single-unit truck),2.25,9.989999771118164,linear,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",12.630000114440918,3.799999952316284,compound,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",15.130000114440918,7.03000020980835,linear,6,Bad - No monitoring data are present.,940
