STATE_CODE,STATE_CODE_EXP,SHRP_ID,YEAR,MONTH,VEHICLE_CLASS,VEHICLE_CLASS_EXP,TRF_DATA_TYPE,TRF_DATA_TYPE_EXP,MONTHLY_RATIO
4,Arizona,1001,2007,8,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.8600000143051147
4,Arizona,1001,2007,12,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.6200000047683716
4,Arizona,1001,2007,7,4,FHWA Class 4 (Buses),4,Classification,0.9800000190734863
4,Arizona,1001,2007,8,4,FHWA Class 4 (Buses),4,Classification,1.0299999713897705
4,Arizona,1001,2007,12,4,FHWA Class 4 (Buses),4,Classification,0.8500000238418579
4,Arizona,1001,2007,1,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,1.1100000143051147
4,Arizona,1001,2007,2,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,1.1299999952316284
4,Arizona,1001,2007,3,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,1.1100000143051147
4,Arizona,1001,2007,4,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,1.0199999809265137
4,Arizona,1001,2007,5,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,0.9399999976158142
4,Arizona,1001,2007,6,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,0.9599999785423279
4,Arizona,1001,2007,7,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,0.9100000262260437
4,Arizona,1001,2007,8,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,0.9599999785423279
4,Arizona,1001,2007,12,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",4,Classification,0.8600000143051147
4,Arizona,1001,2007,1,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.100000023841858
4,Arizona,1001,2007,2,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.0399999618530273
4,Arizona,1001,2007,3,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.0499999523162842
4,Arizona,1001,2007,4,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.0299999713897705
4,Arizona,1001,2007,5,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.0199999809265137
4,Arizona,1001,2007,6,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.0199999809265137
4,Arizona,1001,2007,7,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,0.949999988079071
4,Arizona,1001,2007,8,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,0.9900000095367432
4,Arizona,1001,2007,12,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,0.800000011920929
4,Arizona,1001,2007,1,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.3200000524520874
4,Arizona,1001,2007,2,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.059999942779541
4,Arizona,1001,2007,3,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.9300000071525574
4,Arizona,1001,2007,4,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.059999942779541
4,Arizona,1001,2007,5,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.059999942779541
4,Arizona,1001,2007,6,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.059999942779541
4,Arizona,1001,2007,7,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.059999942779541
4,Arizona,1001,1994,7,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.8100000023841858
4,Arizona,1001,1994,8,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.159999966621399
4,Arizona,1001,1994,9,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,2.5999999046325684
4,Arizona,1001,1994,10,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,2.309999942779541
4,Arizona,1001,1994,11,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.8700000047683716
4,Arizona,1001,1994,12,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.23000000417232513
4,Arizona,1001,1994,1,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,1.0499999523162842
4,Arizona,1001,1994,2,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,1.059999942779541
4,Arizona,1001,1994,3,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,1
4,Arizona,1001,1994,6,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,0.9100000262260437
4,Arizona,1001,1994,7,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,0.9300000071525574
4,Arizona,1001,1994,8,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,0.9300000071525574
4,Arizona,1001,1994,9,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,0.8799999952316284
4,Arizona,1001,1994,10,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,1.1100000143051147
4,Arizona,1001,1994,11,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,1.100000023841858
4,Arizona,1001,1994,12,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4,Classification,1.0299999713897705
4,Arizona,1001,1994,1,9,"FHWA Class 9 (Five axle, one trailer truck)",4,Classification,1.0399999618530273
