STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
4,Arizona,1006,4,2020,4641,1698606
4,Arizona,1006,4,2021,4729,1726085
4,Arizona,1006,4,2022,4815,1757475
4,Arizona,1006,4,2023,4903,1789595
4,Arizona,1006,5,2013,4023,1468395
4,Arizona,1006,5,2014,4112,1500880
4,Arizona,1006,5,2015,4200,1533000
4,Arizona,1006,5,2016,4288,1569408
4,Arizona,1006,5,2017,4376,1597240
4,Arizona,1006,5,2018,4465,1629725
4,Arizona,1006,5,2019,4553,1661845
4,Arizona,1007,5,2006,4771,1741415
4,Arizona,1007,5,2005,4504,1643960
4,Arizona,1007,1,1978,840,306600
4,Arizona,1007,1,1979,936,341640
4,Arizona,1007,1,1980,924,338184
4,Arizona,1007,1,1981,1092,398580
4,Arizona,1007,1,1982,1560,569400
4,Arizona,1007,1,1983,1560,569400
4,Arizona,1007,1,1984,1560,570960
4,Arizona,1007,1,1985,1560,569400
4,Arizona,1007,1,1986,1800,657000
4,Arizona,1007,1,1987,1920,700800
4,Arizona,1007,1,1988,2160,790560
4,Arizona,1007,1,1989,2280,832200
4,Arizona,1007,1,1990,2352,858480
4,Arizona,1007,1,1991,2275,830375
4,Arizona,1007,1,1992,2400,878400
4,Arizona,1007,1,1993,1488,543120
4,Arizona,1007,1,1994,2470,901550
4,Arizona,1007,1,1995,3053,3053
4,Arizona,1007,2,1989,2280,832200
4,Arizona,1007,2,1990,2352,858480
4,Arizona,1007,2,1991,2275,830375
4,Arizona,1007,2,1992,2400,878400
4,Arizona,1007,2,1993,1488,543120
4,Arizona,1007,2,1994,2470,901550
4,Arizona,1007,2,1995,3053,3053
4,Arizona,1007,3,1990,2352,858480
4,Arizona,1007,3,1991,2275,830375
4,Arizona,1007,3,1992,2400,878400
4,Arizona,1007,3,1993,1488,543120
4,Arizona,1007,3,1994,2470,901550
4,Arizona,1007,3,1995,3053,3053
4,Arizona,1007,4,1995,3053,1114345
4,Arizona,1007,4,1996,2868,1049688
4,Arizona,1007,4,1997,3242,1183330
4,Arizona,1007,4,1998,3529,1288085
4,Arizona,1007,4,1999,3659,1335535
4,Arizona,1007,4,2000,4417,1616622
4,Arizona,1007,4,2001,4357,1590305
4,Arizona,1007,4,2002,4754,1735210
4,Arizona,1007,4,2003,5063,1847995
4,Arizona,1007,4,2004,4382,1603812
4,Arizona,1007,4,2005,4504,1643960
4,Arizona,1007,4,2006,4771,1741415
4,Arizona,1007,4,2007,4613,4613
4,Arizona,1007,5,2003,5063,1083482
4,Arizona,1007,5,2004,4382,1603812
4,Arizona,1007,5,2007,4613,4613
4,Arizona,1015,1,1979,154,56210
4,Arizona,1015,2,2016,2960,1083360
4,Arizona,1015,1,1981,143,52195
4,Arizona,1015,1,1982,137,50005
4,Arizona,1015,1,1983,146,53290
4,Arizona,1015,1,1984,157,57462
4,Arizona,1015,1,1985,160,58400
4,Arizona,1015,1,1986,168,61320
4,Arizona,1015,1,1987,224,81760
4,Arizona,1015,1,1988,298,109068
4,Arizona,1015,1,1989,269,98185
4,Arizona,1015,1,1990,308,112420
4,Arizona,1015,1,1991,525,191625
4,Arizona,1015,1,1992,550,201300
4,Arizona,1015,1,1993,395,144175
4,Arizona,1015,1,1994,543,198195
4,Arizona,1015,1,1995,580,211700
4,Arizona,1015,1,1996,550,201300
4,Arizona,1015,1,1997,500,500
4,Arizona,1015,2,1997,500,182500
4,Arizona,1015,2,1998,550,200750
4,Arizona,1015,2,1999,674,246010
4,Arizona,1015,2,2000,736,269376
4,Arizona,1015,2,2001,802,292730
4,Arizona,1015,2,2002,875,319375
4,Arizona,1015,2,2003,955,348575
4,Arizona,1015,2,2004,1042,381372
4,Arizona,1015,2,2005,1136,414640
