STATE_CODE,STATE_CODE_EXP,SHRP_ID,EXPERIMENT_NO,EXPERIMENT_NO_EXP,GPS_SPS,GPS_SPS_EXP,REP_PERCENT_VEH_CLASS_4,REP_PERCENT_VEH_CLASS_5,REP_PERCENT_VEH_CLASS_6,REP_PERCENT_VEH_CLASS_7,REP_PERCENT_VEH_CLASS_8,REP_PERCENT_VEH_CLASS_9,REP_PERCENT_VEH_CLASS_10,REP_PERCENT_VEH_CLASS_11,REP_PERCENT_VEH_CLASS_12,REP_PERCENT_VEH_CLASS_13
4,Arizona,6060,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1.659999966621399,19.989999771118164,5.730000019073486,0.30000001192092896,5.239999771118164,62.09000015258789,0.7699999809265137,2.619999885559082,0.25,1.350000023841858
13,Georgia,1001,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,8.1899995803833,44.810001373291016,7.940000057220459,0.07999999821186066,10.90999984741211,27.139999389648438,0.3700000047683716,0.3100000023841858,0.10999999940395355,0.14000000059604645
13,Georgia,1004,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,6.25,27.43000030517578,6.639999866485596,0.20000000298023224,12.670000076293945,42.0099983215332,1.3300000429153442,0.1899999976158142,0,3.2799999713897705
13,Georgia,1005,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,7.349999904632568,53.90999984741211,4.889999866485596,0,11.760000228881836,21.43000030517578,0.5299999713897705,0,0,0.12999999523162842
13,Georgia,1031,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,4.829999923706055,53.18000030517578,11.380000114440918,0.5899999737739563,9.960000038146973,17.40999984741211,0.9800000190734863,0.23999999463558197,0.23000000417232513,1.2000000476837158
13,Georgia,4092,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,4.329999923706055,35.29999923706055,6.809999942779541,0.17000000178813934,11.350000381469727,38.720001220703125,1.409999966621399,0.9300000071525574,0.4699999988079071,0.5099999904632568
13,Georgia,4093,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,4.639999866485596,30.450000762939453,7.150000095367432,0.18000000715255737,12.100000381469727,41.970001220703125,1.5399999618530273,0.9900000095367432,0.5099999904632568,0.4699999988079071
13,Georgia,4096,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,2.859999895095825,10.119999885559082,5.03000020980835,21.43000030517578,13.65999984741211,40.029998779296875,2.950000047683716,0.07999999821186066,0.4399999976158142,3.4000000953674316
13,Georgia,4096,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,2.859999895095825,10.119999885559082,5.03000020980835,21.43000030517578,13.65999984741211,40.029998779296875,2.950000047683716,0.07999999821186066,0.4399999976158142,3.4000000953674316
13,Georgia,4111,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,15.25,29.200000762939453,12.550000190734863,6.079999923706055,16.170000076293945,15.079999923706055,1.7599999904632568,0.44999998807907104,0.4300000071525574,3.0299999713897705
13,Georgia,4112,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,5.119999885559082,13.25,2.9100000858306885,0.15000000596046448,17.399999618530273,56.43000030517578,0.7400000095367432,2.6600000858306885,0.9200000166893005,0.41999998688697815
13,Georgia,4112,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,5.119999885559082,13.25,2.9100000858306885,0.15000000596046448,17.399999618530273,56.43000030517578,0.7400000095367432,2.6600000858306885,0.9200000166893005,0.41999998688697815
13,Georgia,4113,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,5.840000152587891,16.450000762939453,3.819999933242798,0.5400000214576721,14.630000114440918,53.16999816894531,1.0299999713897705,2.430000066757202,0.8700000047683716,1.2200000286102295
13,Georgia,4113,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,5.840000152587891,16.450000762939453,3.819999933242798,0.5400000214576721,14.630000114440918,53.16999816894531,1.0299999713897705,2.430000066757202,0.8700000047683716,1.2200000286102295
13,Georgia,4119,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,9.649999618530273,14.3100004196167,5.940000057220459,1.6699999570846558,13.9399995803833,46.61000061035156,1.0099999904632568,3.7100000381469727,0.7099999785423279,2.450000047683716
13,Georgia,4420,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,6.539999961853027,24.850000381469727,12.3100004196167,1.1200000047683716,7.980000019073486,39.86000061035156,3.0899999141693115,0.3499999940395355,0.10000000149011612,3.799999952316284
13,Georgia,4420,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,6.539999961853027,24.850000381469727,12.3100004196167,1.1200000047683716,7.980000019073486,39.86000061035156,3.0899999141693115,0.3499999940395355,0.10000000149011612,3.799999952316284
