STATE_CODE,STATE_CODE_EXP,SHRP_ID,VEHICLE_CLASS,VEHICLE_CLASS_EXP,SINGLE_AXLES,TANDEM_AXLES,TRIDEM_AXLES,QUAD_AXLES
4,Arizona,1034,4,FHWA Class 4 (Buses),1.06,0.95,0,0
4,Arizona,1034,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1034,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.7,0.4,0,0
4,Arizona,1034,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1.1,0
4,Arizona,1034,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1034,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0,0
4,Arizona,1034,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0.01,0,0
4,Arizona,1034,9,"FHWA Class 9 (Five axle, one trailer truck)",1.33,1.84,0.02,0
4,Arizona,1036,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",2.41,2.21,0.75,0.75
4,Arizona,1036,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.51,0.64,0,0
4,Arizona,1036,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1036,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1036,9,"FHWA Class 9 (Five axle, one trailer truck)",1.29,1.85,0,0
4,Arizona,1036,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0,0
4,Arizona,1036,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0.02,0,0
4,Arizona,1036,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,0.92,1.1,0
4,Arizona,1036,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0.01,0,0
4,Arizona,1036,4,FHWA Class 4 (Buses),1.11,0.91,0,0
4,Arizona,1037,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1037,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1037,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1037,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.02,1.11,0.9,0.02
4,Arizona,1037,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.35,2.78,0.59,0.08
4,Arizona,1037,7,FHWA Class 7 (Four or more axle Single-unit truck),1.01,0.1,0.93,0
4,Arizona,1037,4,FHWA Class 4 (Buses),1.39,0.61,0,0
4,Arizona,1037,9,"FHWA Class 9 (Five axle, one trailer truck)",1.26,1.87,0.01,0
4,Arizona,1037,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.43,0.63,0,0
4,Arizona,1037,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.97,1,0.05,0
4,Arizona,1062,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.92,0.33,0,0
4,Arizona,1062,9,"FHWA Class 9 (Five axle, one trailer truck)",1.14,1.93,0,0
4,Arizona,1062,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1062,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1062,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.52,2.77,0.58,0.03
4,Arizona,1062,4,FHWA Class 4 (Buses),1.14,0.86,0,0
4,Arizona,1062,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1062,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1,0
4,Arizona,1062,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1062,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0,0
4,Arizona,1065,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1065,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1,0,0.02
4,Arizona,1065,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.99,0.01,0,0
4,Arizona,1065,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1,0
4,Arizona,1065,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,0,0
4,Arizona,1065,9,"FHWA Class 9 (Five axle, one trailer truck)",1.09,1.95,0,0
4,Arizona,1065,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.2,0.61,0,0
4,Arizona,1065,4,FHWA Class 4 (Buses),1.16,0.84,0,0
4,Arizona,1065,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1,3.5,0,0
4,Arizona,1065,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,6053,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
