column,group,null_pct_full_df,dtype,in_iri_dataset,in_rutting_dataset,in_distress_dataset,is_model_feature,imputed
AC_SUP_VOIDS_FILLED_ASPHALT,AC_SUPPORT_STATS,11.5,float64,True,True,True,True,False
AC_SUP_VOIDS_MINERAL_AGGR,AC_SUPPORT_STATS,11.5,float64,True,True,True,True,False
UB_SUP_LAYER_NO,UB_SUPPORT_STATS,22.2,float64,True,True,True,True,False
UB_SUP_LIQUID_LIMIT,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_MAX_LAB_DRY_DENSITY,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_10_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_200_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_40_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_4_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_80_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_ONE_AND_HALF_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_ONE_HALF_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_ONE_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_OPTIMUM_LAB_MOISTURE,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_PLASTIC_LIMIT,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_REPR_THICKNESS,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_RESILIENT_MODULUS,UB_SUPPORT_STATS,35.5,float64,True,True,True,True,False
UB_SUP_RESILIENT_MODULUS_K2,UB_SUPPORT_STATS,35.5,float64,True,True,True,True,False
UB_SUP_RESILIENT_MODULUS_K3,UB_SUPPORT_STATS,35.5,float64,True,True,True,True,False
UB_SUP_SPEC_GRAVITY,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_THREE_EIGHTHS_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_THREE_FOURTHS_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_TWO_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
CLIM_ELEVATION,CLIMATE,0.0,int64,True,True,True,True,False
CLIM_LATITUDE,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_LONGITUDE,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_DEGREE_DAYS_OVER_10C_YR,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_COLDEST_AIR_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_HIGH_TEMP_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MAX_AVG_TEMP_HIGH_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MAX_TEMP_HIGH_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MIN_SURFACE_50_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MIN_SURFACE_98_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_STDDEV_HIGH_TEMP_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_STDDEV_COLDEST_AIR_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_SINGLE_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_ESAL_TANDEM_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_7,TRAFFIC,10.9,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_10,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_11,TRAFFIC,2.5,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_12,TRAFFIC,3.2,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_13,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GESAL_SINGLE_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_GESAL_TANDEM_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_7,TRAFFIC,10.9,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_10,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_11,TRAFFIC,2.5,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_12,TRAFFIC,3.2,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_13,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_7,TRAFFIC,10.9,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_10,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_11,TRAFFIC,2.5,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_12,TRAFFIC,3.2,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_13,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_LOAD_USE_RATING,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP1_REP_AADTT,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_7,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_10,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_11,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_12,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_13,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_SINGLE_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_TANDEM_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_TRIDEM_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_QUAD_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_TVP_VEH_CLASS_DIST_PERCENT,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_TVP_VEH_CLASS_GROWTH_RATE,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_TVP_AADTT_FIRST_YEAR_LTPP_LANE,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_TOTAL,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG01,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG02,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG03,TRAFFIC,0.0,float64,True,True,True,True,False
