STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,PROJECT_LAYER_CODE,MATL_CODE_EXP,MATL_CODE,REPR_THICKNESS,DESCRIPTION,DESCRIPTION_EXP,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,AASHTO_SOIL_CLASS_EXP,AASHTO_SOIL_CLASS,SPEC_GRAVITY,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE,RESILIENT_MODULUS,RESILIENT_MODULUS_K1,RESILIENT_MODULUS_K2,RESILIENT_MODULUS_K3,POISSONS_RATIO,HYDRAULIC_CONDUCTIVITY
13,Georgia,1005,2,2,GB,Unbound (granular) base,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,223.52,5,Base Layer,100,100,100,95,83.5,67,60,46,38.5,28.5,17.5,8.399999618530273,0,0,,A-1-a,502,2.6559998989105225,2194.74,8,75.845,700.367,0.5009999871253967,0.2709999978542328,0.3499999940395355,0.05054
13,Georgia,1031,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand,214,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,1031,1,2,GB,Unbound (granular) base,,Fine-Grained Soils,309,223.52,5,Base Layer,100,100,100,99,97.5,95.5,94.5,93.5,72,50,33,16.100000381469727,0,0,,A-2-4,506,2.7070000171661377,2226.78,6,44.128,618.424,0.7799999713897705,-0.6000000238418579,0.3499999940395355,0.0005854
13,Georgia,1031,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand,214,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,1031,2,2,GB,Unbound (granular) base,,Fine-Grained Soils,309,223.52,5,Base Layer,100,100,100,99,97.5,95.5,94.5,93.5,72,50,33,16.100000381469727,0,0,,A-2-4,506,2.7070000171661377,2226.78,6,44.128,618.424,0.7799999713897705,-0.6000000238418579,0.3499999940395355,0.0005854
13,Georgia,1031,3,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand,214,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,1031,3,2,GB,Unbound (granular) base,,Fine-Grained Soils,309,223.52,5,Base Layer,100,100,100,99,97.5,95.5,94.5,93.5,72,50,33,16.100000381469727,0,0,,A-2-4,506,2.7070000171661377,2226.78,6,44.128,618.424,0.7799999713897705,-0.6000000238418579,0.3499999940395355,0.0005854
13,Georgia,4092,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4092,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4093,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
