TABLE_NAME,FIELD_NAME,FIELD_ALIAS,FIELD_DESCRIPTION,FIELD_UNIT,FIELD_CODETYPE,UNIT_SYSTEM
ANALYSIS_JOINT,SH_TRAFFIC_SEAL_RESVR_DEPTH,Shoulder to Traffic Lane Joint Sealant Reservoir Depth,Average depth of joint sealant reservoir between the shoulder and the traffic lane.,mm,,Metric
ANALYSIS_JOINT,SH_TRAFFIC_SEAL_RESVR_WIDTH,Shoulder to Traffic Lane Joint Sealant Reservoir Width,Average width of joint sealant reservoir between the shoulder and the traffic lane.,mm,,Metric
ANALYSIS_JOINT,TRANS_SEAL_TYPE,Transverse Joint Sealant Type Code,Code indicating type of joint sealant used in transverse joints.,,TRANS_SEAL_TYPE,
ANALYSIS_JOINT,TRANS_SEAL_TYPE_EXP,Transverse Joint Sealant Type Code (Code Expansion),Code indicating type of joint sealant used in transverse joints. (Code Expansion),,,
ANALYSIS_JOINT,AVG_CONTRACTION_SPACING,Average Contraction Spacing,Average spacing between consecutive contraction joints.,m,,Metric
ANALYSIS_JOINT,AVG_SAWED_SPACING,Average Sawed Spacing,Average intermediate sawed joint spacing.,m,,Metric
ANALYSIS_JOINT,BUILT_IN_EXPANSION_SPACING,Built In Expansion Spacing,Average spacing between consecutive expansion joints.,m,,Metric
ANALYSIS_JOINT,JOINT_SKEWNESS,Joint Skewness,Average deviation of the contraction joint across the slab from a right angle with the edge.,m/lane,,Metric
ANALYSIS_JOINT,RANDOM_SPACING,Random Spacing,Description of any random spacing.,,,
ANALYSIS_JOINT,DOWEL_COATING,Dowel Coating Code,Code indicating type of material covering the dowel bar surfaces.,,DOWEL_COATING,
ANALYSIS_JOINT,DOWEL_COATING_EXP,Dowel Coating Code (Code Expansion),Code indicating type of material covering the dowel bar surfaces. (Code Expansion),,,
ANALYSIS_JOINT,DOWEL_DISTANCE, Dowel to Edge Distance,Distance of nearest dowel from outside lane-shoulder edge.,mm,,Metric
ANALYSIS_JOINT,DOWEL_LENGTH,Dowel Length,Length of retrofit dowel bars.,mm,,Metric
ANALYSIS_JOINT,DOWEL_MLTD_SPACING,Load Transfer Device Spacing,Dowel or MLTD spacing.,mm,,Metric
ANALYSIS_JOINT,MLTD_METHOD,Load Transfer Device Placement Method,Code indicating the method used to install the mechanical load transfer devices.,,MLTD_METHOD,
ANALYSIS_JOINT,MLTD_METHOD_EXP,Load Transfer Device Placement Method (Code Expansion),Code indicating the method used to install the mechanical load transfer devices. (Code Expansion),,,
ANALYSIS_JOINT,ROUND_DOWEL_DIAMETER,Round Dowel Diameter,Outer diameter of round dowel bars used as the load transfer device.,mm,,Metric
ANALYSIS_JOINT,TRANS_CONT_JLTS,Transverse Contraction Joint Load Transfer System Code,Code for transverse contraction joint load transfer system.,,TRANS_CONT_JLTS_RHB,
ANALYSIS_JOINT,TRANS_CONT_JLTS_EXP,Transverse Contraction Joint Load Transfer System Code (Code Expansion),Code for transverse contraction joint load transfer system. (Code Expansion),,,
ANALYSIS_JOINT,TIE_BAR_DIAMETER,Tie Bar Diameter,Nominal diameter of the tie bars used across longitudinal joint between lanes.,mm,,Metric
ANALYSIS_JOINT,TIE_BAR_LENGTH,Tie Bar Length,Mean length of the tie bars used across the longitudinal joint between lanes.,mm,,Metric
ANALYSIS_JOINT,TIE_BAR_SPACING,Tie Bar Spacing,Mean spacing of the tie bars used across the longitudinal joint between lanes.,mm,,Metric
ANALYSIS_LTE,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,STATE_PROVINCE,
ANALYSIS_LTE,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,,
ANALYSIS_LTE,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,,
ANALYSIS_LTE,TEST_DATE,Test Date,Date the test was performed.,,,
ANALYSIS_LTE,TEST_TIME,Test Time,Time deflection test sequence at this location was begun.,,,
ANALYSIS_LTE,DEFL_UNIT_ID,Deflection Unit Identifier,Serial number or other unique ID for the deflection device.,,,
ANALYSIS_LTE,POINT_LOC,Point Location,Distance from the start of the section to where the test was performed.,m,,Metric
ANALYSIS_LTE,LANE_NO,FWD Test Lane Position Code,Code indicating the lane or position where the deflection test was performed.,,LANE_SPEC,
ANALYSIS_LTE,LANE_NO_EXP,FWD Test Lane Position Code (Code Expansion),Code indicating the lane or position where the deflection test was performed. (Code Expansion),,,
ANALYSIS_LTE,DROP_NO,Drop Number,Sequential number indicating the order of the drop in the series.,,,
ANALYSIS_LTE,DROP_HEIGHT,Drop Height Code,Integer code for the height from which the weight was dropped.,,DROP_HEIGHT,
ANALYSIS_LTE,DROP_HEIGHT_EXP,Drop Height Code (Code Expansion),Integer code for the height from which the weight was dropped. (Code Expansion),,,
ANALYSIS_LTE,DROP_LOAD,Drop Load,Peak drop load (plate pressure).,kPa,,Metric
ANALYSIS_LTE,LOAD_TRANSFER_EFFICIENCY,Load Transfer Efficiency,Uncorrected load transfer efficiency computed from the deflection ratio of unloaded and loaded sensors from FWD measurements at transverse joints and cracks.,%,,Metric
ANALYSIS_LTE,APPROACH_LEAVE,Approach Leave Code,"Code indicating if load was placed on A - approach, or L - Leave side of joint or crack.",,APPROACH_LEAVE,
ANALYSIS_LTE,APPROACH_LEAVE_EXP,Approach Leave Code (Code Expansion),"Code indicating if load was placed on A - approach, or L - Leave side of joint or crack. (Code Expansion)",,,
ANALYSIS_LTE,UNLOAD_SENSOR_NO,Unloaded Sensor Number,Number of the deflection sensor on the unloaded side of the joint/crack used for the LTE computation.,,,
ANALYSIS_LTE,UNLOAD_PEAK_DEFLECTION,Unloaded Peak Deflection,Peak deflection value on the unloaded side of the joint/crack used for the LTE computation.,microns,,Metric
ANALYSIS_LTE,PEAK_DEFL_1,Peak Deflection Sensor 1,Peak deflection value from the sensor located at the center of the load plate on the loaded side of the joint/crack used for the LTE computation.,microns,,Metric
ANALYSIS_LTE,LTE_FLAG,Load Transfer Efficiency Outlier Type,Flag for when Load Transfer Efficiency measurement is anomalous.,,PERFORMANCE_FLAG,
