STATE_CODE,STATE_CODE_EXP,SHRP_ID,LAYER_NO,CONSTRUCTION_NO,TEST_TEMPERATURE,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1022,6,3,25,CREEP_COMP_1_SEC,0.166,0.187,0.1765,0.1765,0.01484924,0.08413169,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_1_SEC,0.061,0.069,0.065,0.065,0.00565685,0.08702853,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_2_SEC,0.053,0.057,0.055,0.055,0.00282843,0.05142595,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,25,CREEP_COMP_2_SEC,0.211,0.233,0.222,0.222,0.01555635,0.07007364,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_2_SEC,0.067,0.077,0.072,0.072,0.00707107,0.09820928,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_5_SEC,0.058,0.062,0.06,0.06,0.00282843,0.04714045,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_10_SEC,0.062,0.065,0.0635,0.0635,0.00212132,0.03340662,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_10_SEC,0.083,0.095,0.089,0.089,0.00848528,0.09534024,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_100_SEC,0.125,0.148,0.1365,0.1365,0.01626346,0.1191462,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_20_SEC,0.092,0.107,0.0995,0.0995,0.0106066,0.10659901,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,25,CREEP_COMP_20_SEC,0.45,0.558,0.504,0.504,0.07636753,0.15152288,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,25,CREEP_COMP_10_SEC,0.345,0.413,0.379,0.379,0.04808326,0.12686876,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_50_SEC,0.075,0.076,0.0755,0.0755,0.00070711,0.00936565,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_100_SEC,0.082,0.083,0.0825,0.0825,0.00070711,0.00857099,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_20_SEC,0.066,0.07,0.068,0.068,0.00282843,0.04159452,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,6,3,25,CREEP_COMP_5_SEC,0.275,0.32,0.2975,0.2975,0.03181981,0.10695733,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,3,7,5,CREEP_COMP_1_SEC,0.111,0.111,0.111,0.111,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_2_SEC,0.053,0.053,0.053,0.053,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_2_SEC,1.362,1.362,1.362,1.362,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,5,CREEP_COMP_2_SEC,0.135,0.135,0.135,0.135,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_5_SEC,0.065,0.065,0.065,0.065,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_5_SEC,2.032,2.032,2.032,2.032,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,5,CREEP_COMP_5_SEC,0.19,0.19,0.19,0.19,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_10_SEC,0.073,0.073,0.073,0.073,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_10_SEC,2.656,2.656,2.656,2.656,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,5,CREEP_COMP_10_SEC,0.234,0.234,0.234,0.234,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_100_SEC,0.123,0.123,0.123,0.123,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_100_SEC,6.669,6.669,6.669,6.669,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,5,CREEP_COMP_100_SEC,0.573,0.573,0.573,0.573,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_50_SEC,0.102,0.102,0.102,0.102,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_50_SEC,5.116,5.116,5.116,5.116,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,5,CREEP_COMP_50_SEC,0.428,0.428,0.428,0.428,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_20_SEC,0.082,0.082,0.082,0.082,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_20_SEC,3.599,3.599,3.599,3.599,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,5,CREEP_COMP_20_SEC,0.303,0.303,0.303,0.303,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,-10,CREEP_COMP_1_SEC,0.033,0.033,0.033,0.033,,,AS,Representative property from a single measurement.
4,Arizona,1024,3,7,25,CREEP_COMP_1_SEC,0.958,0.958,0.958,0.958,,,AS,Representative property from a single measurement.
4,Arizona,1024,6,8,5,CREEP_COMP_10_SEC,0.19,0.246,0.218,0.218,0.03959798,0.18164211,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,-10,CREEP_COMP_10_SEC,0.093,0.096,0.0945,0.0945,0.00212132,0.02244783,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
